"Id";"Edad";"Producto";"Diseno";"Puntaje"
47;"Adulto";"Queque";"PackPro";2
47;"Adulto";"Queque";"KoolDesign";6
47;"Adulto";"Queque";"LaKajita";1
47;"Adulto";"Queque";"DisenoColor";3
48;"Nino";"Alfajor";"PackPro";6
48;"Nino";"Alfajor";"KoolDesign";2
48;"Nino";"Alfajor";"LaKajita";7
48;"Nino";"Alfajor";"DisenoColor";6
49;"Nino";"Galletas";"PackPro";5
49;"Nino";"Galletas";"KoolDesign";3
49;"Nino";"Galletas";"LaKajita";1
49;"Nino";"Galletas";"DisenoColor";4
50;"Joven";"Chocolate";"PackPro";5
50;"Joven";"Chocolate";"KoolDesign";3
50;"Joven";"Chocolate";"LaKajita";5
50;"Joven";"Chocolate";"DisenoColor";4
51;"Adulto";"Caramelos";"PackPro";2
51;"Adulto";"Caramelos";"KoolDesign";6
51;"Adulto";"Caramelos";"LaKajita";4
51;"Adulto";"Caramelos";"DisenoColor";2
52;"Nino";"Queque";"PackPro";6
52;"Nino";"Queque";"KoolDesign";2
52;"Nino";"Queque";"LaKajita";3
52;"Nino";"Queque";"DisenoColor";4
53;"Joven";"Alfajor";"PackPro";3
53;"Joven";"Alfajor";"KoolDesign";5
53;"Joven";"Alfajor";"LaKajita";6
53;"Joven";"Alfajor";"DisenoColor";2
54;"Nino";"Caramelos";"PackPro";7
54;"Nino";"Caramelos";"KoolDesign";1
54;"Nino";"Caramelos";"LaKajita";5
54;"Nino";"Caramelos";"DisenoColor";7
55;"Adulto";"Cuchufli";"PackPro";2
55;"Adulto";"Cuchufli";"KoolDesign";6
55;"Adulto";"Cuchufli";"LaKajita";6
55;"Adulto";"Cuchufli";"DisenoColor";6
56;"Joven";"Chocolate";"PackPro";4
56;"Joven";"Chocolate";"KoolDesign";4
56;"Joven";"Chocolate";"LaKajita";3
56;"Joven";"Chocolate";"DisenoColor";6
57;"Joven";"Caramelos";"PackPro";3
57;"Joven";"Caramelos";"KoolDesign";5
57;"Joven";"Caramelos";"LaKajita";5
57;"Joven";"Caramelos";"DisenoColor";3
58;"Nino";"Chocolate";"PackPro";6
58;"Nino";"Chocolate";"KoolDesign";2
58;"Nino";"Chocolate";"LaKajita";6
58;"Nino";"Chocolate";"DisenoColor";3
59;"Adulto";"Alfajor";"PackPro";3
59;"Adulto";"Alfajor";"KoolDesign";5
59;"Adulto";"Alfajor";"LaKajita";6
59;"Adulto";"Alfajor";"DisenoColor";4
60;"Adulto";"Galletas";"PackPro";1
60;"Adulto";"Galletas";"KoolDesign";7
60;"Adulto";"Galletas";"LaKajita";5
60;"Adulto";"Galletas";"DisenoColor";3
61;"Nino";"Galletas";"PackPro";7
61;"Nino";"Galletas";"KoolDesign";1
61;"Nino";"Galletas";"LaKajita";3
61;"Nino";"Galletas";"DisenoColor";4
62;"Joven";"Cuchufli";"PackPro";4
62;"Joven";"Cuchufli";"KoolDesign";4
62;"Joven";"Cuchufli";"LaKajita";4
62;"Joven";"Cuchufli";"DisenoColor";6
63;"Adulto";"Caramelos";"PackPro";2
63;"Adulto";"Caramelos";"KoolDesign";6
63;"Adulto";"Caramelos";"LaKajita";5
63;"Adulto";"Caramelos";"DisenoColor";3
64;"Nino";"Chocolate";"PackPro";6
64;"Nino";"Chocolate";"KoolDesign";2
64;"Nino";"Chocolate";"LaKajita";6
64;"Nino";"Chocolate";"DisenoColor";5
65;"Nino";"Alfajor";"PackPro";6
65;"Nino";"Alfajor";"KoolDesign";2
65;"Nino";"Alfajor";"LaKajita";3
65;"Nino";"Alfajor";"DisenoColor";6
66;"Joven";"Caramelos";"PackPro";4
66;"Joven";"Caramelos";"KoolDesign";4
66;"Joven";"Caramelos";"LaKajita";1
66;"Joven";"Caramelos";"DisenoColor";5
67;"Adulto";"Galletas";"PackPro";2
67;"Adulto";"Galletas";"KoolDesign";6
67;"Adulto";"Galletas";"LaKajita";5
67;"Adulto";"Galletas";"DisenoColor";7
68;"Joven";"Galletas";"PackPro";3
68;"Joven";"Galletas";"KoolDesign";5
68;"Joven";"Galletas";"LaKajita";5
68;"Joven";"Galletas";"DisenoColor";3
69;"Nino";"Galletas";"PackPro";6
69;"Nino";"Galletas";"KoolDesign";2
69;"Nino";"Galletas";"LaKajita";6
69;"Nino";"Galletas";"DisenoColor";4
70;"Nino";"Chocolate";"PackPro";7
70;"Nino";"Chocolate";"KoolDesign";1
70;"Nino";"Chocolate";"LaKajita";6
70;"Nino";"Chocolate";"DisenoColor";5
71;"Joven";"Alfajor";"PackPro";3
71;"Joven";"Alfajor";"KoolDesign";5
71;"Joven";"Alfajor";"LaKajita";7
71;"Joven";"Alfajor";"DisenoColor";1
72;"Joven";"Chocolate";"PackPro";4
72;"Joven";"Chocolate";"KoolDesign";4
72;"Joven";"Chocolate";"LaKajita";2
72;"Joven";"Chocolate";"DisenoColor";4
73;"Adulto";"Cuchufli";"PackPro";1
73;"Adulto";"Cuchufli";"KoolDesign";7
73;"Adulto";"Cuchufli";"LaKajita";4
73;"Adulto";"Cuchufli";"DisenoColor";1
74;"Adulto";"Queque";"PackPro";2
74;"Adulto";"Queque";"KoolDesign";6
74;"Adulto";"Queque";"LaKajita";3
74;"Adulto";"Queque";"DisenoColor";2
75;"Joven";"Caramelos";"PackPro";4
75;"Joven";"Caramelos";"KoolDesign";4
75;"Joven";"Caramelos";"LaKajita";7
75;"Joven";"Caramelos";"DisenoColor";6
76;"Adulto";"Galletas";"PackPro";2
76;"Adulto";"Galletas";"KoolDesign";6
76;"Adulto";"Galletas";"LaKajita";2
76;"Adulto";"Galletas";"DisenoColor";1
77;"Adulto";"Alfajor";"PackPro";1
77;"Adulto";"Alfajor";"KoolDesign";7
77;"Adulto";"Alfajor";"LaKajita";1
77;"Adulto";"Alfajor";"DisenoColor";6
78;"Nino";"Queque";"PackPro";6
78;"Nino";"Queque";"KoolDesign";2
78;"Nino";"Queque";"LaKajita";3
78;"Nino";"Queque";"DisenoColor";2
79;"Nino";"Queque";"PackPro";6
79;"Nino";"Queque";"KoolDesign";2
79;"Nino";"Queque";"LaKajita";5
79;"Nino";"Queque";"DisenoColor";5
80;"Joven";"Alfajor";"PackPro";4
80;"Joven";"Alfajor";"KoolDesign";4
80;"Joven";"Alfajor";"LaKajita";3
80;"Joven";"Alfajor";"DisenoColor";7
81;"Adulto";"Alfajor";"PackPro";1
81;"Adulto";"Alfajor";"KoolDesign";7
81;"Adulto";"Alfajor";"LaKajita";4
81;"Adulto";"Alfajor";"DisenoColor";3
82;"Adulto";"Chocolate";"PackPro";1
82;"Adulto";"Chocolate";"KoolDesign";7
82;"Adulto";"Chocolate";"LaKajita";5
82;"Adulto";"Chocolate";"DisenoColor";6
83;"Joven";"Galletas";"PackPro";4
83;"Joven";"Galletas";"KoolDesign";4
83;"Joven";"Galletas";"LaKajita";4
83;"Joven";"Galletas";"DisenoColor";3
84;"Joven";"Caramelos";"PackPro";4
84;"Joven";"Caramelos";"KoolDesign";4
84;"Joven";"Caramelos";"LaKajita";2
84;"Joven";"Caramelos";"DisenoColor";7
85;"Nino";"Galletas";"PackPro";6
85;"Nino";"Galletas";"KoolDesign";2
85;"Nino";"Galletas";"LaKajita";7
85;"Nino";"Galletas";"DisenoColor";6
86;"Nino";"Caramelos";"PackPro";6
86;"Nino";"Caramelos";"KoolDesign";2
86;"Nino";"Caramelos";"LaKajita";3
86;"Nino";"Caramelos";"DisenoColor";6
87;"Adulto";"Queque";"PackPro";2
87;"Adulto";"Queque";"KoolDesign";6
87;"Adulto";"Queque";"LaKajita";4
87;"Adulto";"Queque";"DisenoColor";6
88;"Adulto";"Caramelos";"PackPro";1
88;"Adulto";"Caramelos";"KoolDesign";7
88;"Adulto";"Caramelos";"LaKajita";4
88;"Adulto";"Caramelos";"DisenoColor";3
89;"Nino";"Queque";"PackPro";6
89;"Nino";"Queque";"KoolDesign";2
89;"Nino";"Queque";"LaKajita";2
89;"Nino";"Queque";"DisenoColor";1
90;"Joven";"Cuchufli";"PackPro";3
90;"Joven";"Cuchufli";"KoolDesign";5
90;"Joven";"Cuchufli";"LaKajita";4
90;"Joven";"Cuchufli";"DisenoColor";3
91;"Adulto";"Galletas";"PackPro";1
91;"Adulto";"Galletas";"KoolDesign";7
91;"Adulto";"Galletas";"LaKajita";2
91;"Adulto";"Galletas";"DisenoColor";3
92;"Nino";"Caramelos";"PackPro";5
92;"Nino";"Caramelos";"KoolDesign";3
92;"Nino";"Caramelos";"LaKajita";6
92;"Nino";"Caramelos";"DisenoColor";6
93;"Joven";"Alfajor";"PackPro";3
93;"Joven";"Alfajor";"KoolDesign";5
93;"Joven";"Alfajor";"LaKajita";1
93;"Joven";"Alfajor";"DisenoColor";6
94;"Joven";"Cuchufli";"PackPro";4
94;"Joven";"Cuchufli";"KoolDesign";4
94;"Joven";"Cuchufli";"LaKajita";2
94;"Joven";"Cuchufli";"DisenoColor";6
95;"Joven";"Cuchufli";"PackPro";4
95;"Joven";"Cuchufli";"KoolDesign";4
95;"Joven";"Cuchufli";"LaKajita";1
95;"Joven";"Cuchufli";"DisenoColor";2
96;"Nino";"Chocolate";"PackPro";7
96;"Nino";"Chocolate";"KoolDesign";1
96;"Nino";"Chocolate";"LaKajita";5
96;"Nino";"Chocolate";"DisenoColor";5
97;"Joven";"Caramelos";"PackPro";4
97;"Joven";"Caramelos";"KoolDesign";4
97;"Joven";"Caramelos";"LaKajita";3
97;"Joven";"Caramelos";"DisenoColor";6
98;"Adulto";"Chocolate";"PackPro";1
98;"Adulto";"Chocolate";"KoolDesign";7
98;"Adulto";"Chocolate";"LaKajita";3
98;"Adulto";"Chocolate";"DisenoColor";2
99;"Adulto";"Cuchufli";"PackPro";3
99;"Adulto";"Cuchufli";"KoolDesign";5
99;"Adulto";"Cuchufli";"LaKajita";5
99;"Adulto";"Cuchufli";"DisenoColor";6
100;"Joven";"Cuchufli";"PackPro";4
100;"Joven";"Cuchufli";"KoolDesign";4
100;"Joven";"Cuchufli";"LaKajita";2
100;"Joven";"Cuchufli";"DisenoColor";5
101;"Joven";"Queque";"PackPro";4
101;"Joven";"Queque";"KoolDesign";4
101;"Joven";"Queque";"LaKajita";6
101;"Joven";"Queque";"DisenoColor";6
102;"Joven";"Queque";"PackPro";3
102;"Joven";"Queque";"KoolDesign";5
102;"Joven";"Queque";"LaKajita";3
102;"Joven";"Queque";"DisenoColor";4
103;"Joven";"Chocolate";"PackPro";4
103;"Joven";"Chocolate";"KoolDesign";4
103;"Joven";"Chocolate";"LaKajita";7
103;"Joven";"Chocolate";"DisenoColor";2
104;"Nino";"Galletas";"PackPro";7
104;"Nino";"Galletas";"KoolDesign";1
104;"Nino";"Galletas";"LaKajita";3
104;"Nino";"Galletas";"DisenoColor";4
105;"Nino";"Chocolate";"PackPro";5
105;"Nino";"Chocolate";"KoolDesign";3
105;"Nino";"Chocolate";"LaKajita";7
105;"Nino";"Chocolate";"DisenoColor";6
106;"Joven";"Queque";"PackPro";4
106;"Joven";"Queque";"KoolDesign";4
106;"Joven";"Queque";"LaKajita";2
106;"Joven";"Queque";"DisenoColor";5
107;"Nino";"Queque";"PackPro";5
107;"Nino";"Queque";"KoolDesign";3
107;"Nino";"Queque";"LaKajita";3
107;"Nino";"Queque";"DisenoColor";2
108;"Nino";"Chocolate";"PackPro";7
108;"Nino";"Chocolate";"KoolDesign";1
108;"Nino";"Chocolate";"LaKajita";3
108;"Nino";"Chocolate";"DisenoColor";6
109;"Adulto";"Galletas";"PackPro";2
109;"Adulto";"Galletas";"KoolDesign";6
109;"Adulto";"Galletas";"LaKajita";4
109;"Adulto";"Galletas";"DisenoColor";3
110;"Adulto";"Caramelos";"PackPro";3
110;"Adulto";"Caramelos";"KoolDesign";5
110;"Adulto";"Caramelos";"LaKajita";3
110;"Adulto";"Caramelos";"DisenoColor";1
111;"Nino";"Chocolate";"PackPro";6
111;"Nino";"Chocolate";"KoolDesign";2
111;"Nino";"Chocolate";"LaKajita";3
111;"Nino";"Chocolate";"DisenoColor";4
112;"Nino";"Chocolate";"PackPro";6
112;"Nino";"Chocolate";"KoolDesign";2
112;"Nino";"Chocolate";"LaKajita";5
112;"Nino";"Chocolate";"DisenoColor";6
113;"Joven";"Caramelos";"PackPro";3
113;"Joven";"Caramelos";"KoolDesign";5
113;"Joven";"Caramelos";"LaKajita";7
113;"Joven";"Caramelos";"DisenoColor";4
114;"Joven";"Caramelos";"PackPro";5
114;"Joven";"Caramelos";"KoolDesign";3
114;"Joven";"Caramelos";"LaKajita";4
114;"Joven";"Caramelos";"DisenoColor";3
115;"Adulto";"Chocolate";"PackPro";2
115;"Adulto";"Chocolate";"KoolDesign";6
115;"Adulto";"Chocolate";"LaKajita";5
115;"Adulto";"Chocolate";"DisenoColor";5
116;"Nino";"Caramelos";"PackPro";6
116;"Nino";"Caramelos";"KoolDesign";2
116;"Nino";"Caramelos";"LaKajita";5
116;"Nino";"Caramelos";"DisenoColor";2
117;"Adulto";"Cuchufli";"PackPro";2
117;"Adulto";"Cuchufli";"KoolDesign";6
117;"Adulto";"Cuchufli";"LaKajita";5
117;"Adulto";"Cuchufli";"DisenoColor";5
118;"Joven";"Cuchufli";"PackPro";3
118;"Joven";"Cuchufli";"KoolDesign";5
118;"Joven";"Cuchufli";"LaKajita";7
118;"Joven";"Cuchufli";"DisenoColor";4
119;"Adulto";"Galletas";"PackPro";1
119;"Adulto";"Galletas";"KoolDesign";7
119;"Adulto";"Galletas";"LaKajita";2
119;"Adulto";"Galletas";"DisenoColor";2
120;"Joven";"Chocolate";"PackPro";4
120;"Joven";"Chocolate";"KoolDesign";4
120;"Joven";"Chocolate";"LaKajita";3
120;"Joven";"Chocolate";"DisenoColor";5
121;"Adulto";"Galletas";"PackPro";2
121;"Adulto";"Galletas";"KoolDesign";6
121;"Adulto";"Galletas";"LaKajita";6
121;"Adulto";"Galletas";"DisenoColor";3
122;"Adulto";"Chocolate";"PackPro";2
122;"Adulto";"Chocolate";"KoolDesign";6
122;"Adulto";"Chocolate";"LaKajita";3
122;"Adulto";"Chocolate";"DisenoColor";6
123;"Joven";"Alfajor";"PackPro";4
123;"Joven";"Alfajor";"KoolDesign";5
123;"Joven";"Alfajor";"LaKajita";4
123;"Joven";"Alfajor";"DisenoColor";4
124;"Nino";"Caramelos";"PackPro";7
124;"Nino";"Caramelos";"KoolDesign";1
124;"Nino";"Caramelos";"LaKajita";5
124;"Nino";"Caramelos";"DisenoColor";1
125;"Nino";"Galletas";"PackPro";6
125;"Nino";"Galletas";"KoolDesign";2
125;"Nino";"Galletas";"LaKajita";3
125;"Nino";"Galletas";"DisenoColor";5
126;"Joven";"Caramelos";"PackPro";4
126;"Joven";"Caramelos";"KoolDesign";4
126;"Joven";"Caramelos";"LaKajita";1
126;"Joven";"Caramelos";"DisenoColor";4
127;"Nino";"Caramelos";"PackPro";6
127;"Nino";"Caramelos";"KoolDesign";2
127;"Nino";"Caramelos";"LaKajita";4
127;"Nino";"Caramelos";"DisenoColor";5
128;"Adulto";"Galletas";"PackPro";2
128;"Adulto";"Galletas";"KoolDesign";6
128;"Adulto";"Galletas";"LaKajita";2
128;"Adulto";"Galletas";"DisenoColor";6
129;"Adulto";"Alfajor";"PackPro";2
129;"Adulto";"Alfajor";"KoolDesign";6
129;"Adulto";"Alfajor";"LaKajita";4
129;"Adulto";"Alfajor";"DisenoColor";7
130;"Adulto";"Caramelos";"PackPro";3
130;"Adulto";"Caramelos";"KoolDesign";5
130;"Adulto";"Caramelos";"LaKajita";2
130;"Adulto";"Caramelos";"DisenoColor";1
131;"Nino";"Cuchufli";"PackPro";6
131;"Nino";"Cuchufli";"KoolDesign";2
131;"Nino";"Cuchufli";"LaKajita";7
131;"Nino";"Cuchufli";"DisenoColor";5
132;"Joven";"Galletas";"PackPro";3
132;"Joven";"Galletas";"KoolDesign";5
132;"Joven";"Galletas";"LaKajita";4
132;"Joven";"Galletas";"DisenoColor";4
133;"Adulto";"Galletas";"PackPro";2
133;"Adulto";"Galletas";"KoolDesign";6
133;"Adulto";"Galletas";"LaKajita";5
133;"Adulto";"Galletas";"DisenoColor";6
134;"Joven";"Alfajor";"PackPro";3
134;"Joven";"Alfajor";"KoolDesign";5
134;"Joven";"Alfajor";"LaKajita";1
134;"Joven";"Alfajor";"DisenoColor";4
135;"Nino";"Chocolate";"PackPro";6
135;"Nino";"Chocolate";"KoolDesign";2
135;"Nino";"Chocolate";"LaKajita";3
135;"Nino";"Chocolate";"DisenoColor";6
136;"Joven";"Chocolate";"PackPro";4
136;"Joven";"Chocolate";"KoolDesign";4
136;"Joven";"Chocolate";"LaKajita";5
136;"Joven";"Chocolate";"DisenoColor";7
137;"Joven";"Caramelos";"PackPro";5
137;"Joven";"Caramelos";"KoolDesign";3
137;"Joven";"Caramelos";"LaKajita";3
137;"Joven";"Caramelos";"DisenoColor";2
138;"Adulto";"Chocolate";"PackPro";1
138;"Adulto";"Chocolate";"KoolDesign";7
138;"Adulto";"Chocolate";"LaKajita";1
138;"Adulto";"Chocolate";"DisenoColor";1
139;"Nino";"Caramelos";"PackPro";6
139;"Nino";"Caramelos";"KoolDesign";2
139;"Nino";"Caramelos";"LaKajita";2
139;"Nino";"Caramelos";"DisenoColor";3
140;"Joven";"Cuchufli";"PackPro";5
140;"Joven";"Cuchufli";"KoolDesign";3
140;"Joven";"Cuchufli";"LaKajita";4
140;"Joven";"Cuchufli";"DisenoColor";6
141;"Adulto";"Cuchufli";"PackPro";1
141;"Adulto";"Cuchufli";"KoolDesign";7
141;"Adulto";"Cuchufli";"LaKajita";1
141;"Adulto";"Cuchufli";"DisenoColor";1
142;"Nino";"Cuchufli";"PackPro";5
142;"Nino";"Cuchufli";"KoolDesign";3
142;"Nino";"Cuchufli";"LaKajita";6
142;"Nino";"Cuchufli";"DisenoColor";4
143;"Nino";"Galletas";"PackPro";7
143;"Nino";"Galletas";"KoolDesign";1
143;"Nino";"Galletas";"LaKajita";6
143;"Nino";"Galletas";"DisenoColor";7
144;"Joven";"Cuchufli";"PackPro";5
144;"Joven";"Cuchufli";"KoolDesign";3
144;"Joven";"Cuchufli";"LaKajita";5
144;"Joven";"Cuchufli";"DisenoColor";5
145;"Adulto";"Alfajor";"PackPro";3
145;"Adulto";"Alfajor";"KoolDesign";6
145;"Adulto";"Alfajor";"LaKajita";5
145;"Adulto";"Alfajor";"DisenoColor";7
146;"Nino";"Caramelos";"PackPro";6
146;"Nino";"Caramelos";"KoolDesign";2
146;"Nino";"Caramelos";"LaKajita";3
146;"Nino";"Caramelos";"DisenoColor";4
147;"Nino";"Cuchufli";"PackPro";6
147;"Nino";"Cuchufli";"KoolDesign";2
147;"Nino";"Cuchufli";"LaKajita";6
147;"Nino";"Cuchufli";"DisenoColor";3
148;"Joven";"Chocolate";"PackPro";4
148;"Joven";"Chocolate";"KoolDesign";4
148;"Joven";"Chocolate";"LaKajita";4
148;"Joven";"Chocolate";"DisenoColor";3
149;"Joven";"Caramelos";"PackPro";4
149;"Joven";"Caramelos";"KoolDesign";4
149;"Joven";"Caramelos";"LaKajita";2
149;"Joven";"Caramelos";"DisenoColor";3
150;"Adulto";"Galletas";"PackPro";2
150;"Adulto";"Galletas";"KoolDesign";6
